character,dialogue
Willow,(smiling) I'm giddy.
Oz,"Oh, I like you giddy. Always have."
Willow,"It's the freedom! As Seniors, we can go off-campus now for  lunch. It's no longer cutting. It's legal! Heck, it's expected! Wow,  it's, uh, also a big step forward, a Senior moment, one that has to be  savored."
Willow,"You can't just rush into this, you know?"
Willow,Ohh!
Willow,"No, I can't!"
Xander,You can.
Oz,"See, you are."
Willow,"Oh, but, no! What if they changed the rule without telling?  What if they're lying in wait to *arrest* me a-and, and throw me in  detention and mar my unblemished record?"
Xander,Breathe. Breathe.
Willow,Okay. Hmm...
Willow,"(relaxed) This is good! This is... Hey, we're Seniors! (with an  attitude) Hey, I'm walkin' here! (giggles)"
Xander,Ahh. Buffy and food.
Willow,Maybe we shouldn't be too couple-y around Buffy.
Cordelia,"Oh, you mean 'cause of how the only guy that ever liked her  turned into a vicious killer and had to be put down like a dog?"
Xander,"(admiringly) Can she cram complex issues into a nutshell, or  what?"
Oz,"All right, prepare to uncouple..."
Oz,Uncouple.
Xander,"Buffy, banned from campus, but not from our hearts, how are you  and what's for lunch?"
Buffy,"Oh, I just threw a few things together."
Cordelia,(impressed with Buffy's offerings) When did you become Martha  Stewart?
Buffy,"First of all, Martha Stewart knows jack about hand-cut  prosciutto. (hands out drink bottles)"
Xander,"I don't believe she slays, either."
Oz,"Oh, I hear she can, but she doesn't like to."
Buffy,"(opens her bottle) Second of all, way too much free time on my  hands since I got kicked out of school. (takes a drink)"
Willow,"Oh, I know they'll let you back in. (takes a drink)"
Xander,Don't you and your mom have a meeting with Principal Snyder?
Buffy,We're seeing Snyde-Man tomorrow.
Willow,"(notices a boy) Ooo, Scott Hope at eleven o'clock. (Buffy  looks) (to Buffy) He likes you. He wanted to ask you out last year, but  you weren't ready then. But I think you're ready now, or at least in the  state of pre-readiness to make conversation, or-or to do that thing with  your mouth that boys like."
Willow,"(realizes her slip-up) Oh! I didn't mean the *bad* thing with  your mouth, I meant that little half-smile thing that you... (glares at  Oz) You're supposed to stop me when I do that."
Oz,(smiles and shakes his head) I like when you do that.
Scott,"(smiles) Hi, Buffy."
Buffy,(smiles back) Hi.
Willow,I think that went very well. Don't you think that went very  well?
Cordelia,He didn't try to slit our throats or anything. (nods) That's  progress.
Willow,"Hey, did you do that little half-smile thing?"
Buffy,"(sighs) Look, I'm not trying to snare Scott Hope. I just want to  get my life back, you know, do normal stuff."
Willow,Like date?
Buffy,Well...
Xander,"Oh, you wanna date. I saw that half-smile, you little slut.  (chuckles)"
Xander,(smiles and chuckles) Ow. (winces and holds his arm)
Buffy,"All right, yes, date and shop and hang out and go to school and  save the world from unspeakable demons. You know, I wanna do girlie  stuff!"
Voice,"Welcome to Happy Burger. May I take your order, please?"
Trick,Diet soda. Medium.
Voice,"That'll be eighty-nine cents at the window, sir."
Trick,"Sunnydale. (looks at the man next to him) Town's got quaint. And  the people? (smiles) He called me 'sir'. Don't you just miss that? I  mean, admittedly, it's not a haven for the brothers, you know, strictly  the Caucasian Persuasion here in the Dale. But, you know, you just gotta  stand up and salute their death rate. I ran a statistical analysis,  (smiles) and hello darkness. It makes... D.C. look... like Mayberry, and  ain't nobody saying boo about it. We could fit right in here. Have us  some fun."
Kakistos,(growls) We're here for one thing.
Trick,"Kill the Slayer, yeah. Still, big picture..."
Boy,"(smiles) Have a nice night, sir."
Trick,(smiles) Right back at ya. (sits back)
Kakistos,"The Slayer. I'm going to rip her spine from her body, and I'm  going to eat her heart and suck the marrow from her bones."
Trick,Now I'm hungry.
Lyrics,<I>Everything is quiet</I>
Buffy,I miss you.
Lyrics,<I>Since you're not around</I>
Lyrics,<I>And I live in the numbness now</I>
Lyrics,<I>In the background</I>
Lyrics,<I>I do the things we did before</I>
Lyrics,<I>I walk Haight Street to the store</I>
Buffy,I had to.
Angel,I loved you.
Buffy,"Oh, God! Angel..."
Angel,(yells) GO TO HELL!
Angel,I did.
Joyce,"Morning, Sunshine! (smiles) Ready to face the beast?"
Snyder,"Here are the terms of your re-entry, Missy. Take 'em or leave  'em."
Snyder,One: that you pass a makeup test of every class you skipped out  on last year.
Snyder,"Two: that you provide, in writing, one *glowing* letter of  recommendation from any member of our faculty who is not an English  librarian."
Snyder,Three: that you complete an interview (stands up) with our  school psychologist (walks around his desk toward Buffy) who must  conclude that your violent tendencies...
Snyder,...are under control.
Joyce,"I'm not sure I like your attitude, Mr. Snyder. I spoke with the  school board, and according to them..."
Snyder,(walks back around his desk) I'm required to educate every  juvenile who is not in jail where she belongs.
Snyder,Welcome back.
Buffy,"So let me get this straight. I'm really back in school because  the school board *overruled* you. (Snyder faces her) Wow. That's like  having your whole ability to do this job called into question, when you  think about it."
Joyce,"(gets up also) I think what my daughter's trying to say is...  (sing-song) Nyah, nyah-nyah-nyah, nyah."
Secretary,It's the Mayor on line one.
Willow,It's so great that you're a schoolgirl again.
Buffy,Giles say what he wanted? Do you think he's mad?
Willow,"No, I don't think so. I think he just needed to see you.  (glances around) (smiling) Have you ever noticed, though, when he *is*  mad, but he's too English to say anything, he makes that weird cluck- cluck sound with his tongue?"
Buffy,"Hi, Giles! (raises her eyebrows at Willow and smiles)"
Willow,"(turns to face him, looking worried) Oh, hi! Been there long?"
Giles,"(preoccupied) Buffy, good timing. (looks around behind the  counter) I could use your help. I trust you remember the demon Acathla?"
Buffy,"Giles, contain yourself. Yes, I'm back in school, but you know  how it embarrasses me when you gush so. (Giles looks up from his  searching) Let's just skip all that and get straight to work."
Giles,"(slowly straightens up) Oh, ahhhh... Well, I, um... Well-w... O- o-of course, it's wonderful to have you back, i-i-it goes without  saying. (Buffy raises her eyebrows at him and smiles) But... (notices  Buffy's look) You enjoy making me say it, don't you?"
Buffy,"Okay, Acathla, huh? What are you doing, making him some demon  pizza?"
Giles,We need to make sure that he remains dormant and that the  dimensional vortex is sealed tight. So I'm working on a binding spell.
Willow,"(perks up) Oh, a spell? Can I help?"
Giles,"Possibly, with the research. It's very sensitive and..."
Willow,(sounding hurt) Oh! Who's more sensitive than me?
Giles,"...and difficult spell. (Willow frowns) It involves creating a- a-a protective circle around... Well, I don't want to bore you with the  details, but, uh, well, there's a litany th-that one has to recite in  Aramaic, and it's very specific. So I need to get a few details about  your experience of defeating Acathla and Angel."
Buffy,(considers for a moment) Fire away.
Giles,"I've put the time at about, um, (checks his notes) 6:17, around,  about half an hour after Xander rescued me. (comes back to the counter)"
Buffy,Less. More like ten minutes.
Giles,"Oh, was the vortex already open?"
Buffy,Barely.
Giles,I see. And Angel?
Buffy,"A big fight, Angel got the pointy end of the sword, Acathla  sucked him into Hell instead of the world. That's about the it."
Giles,"(writes a few notes) Yes, well, that, um... should be very  helpful."
Buffy,"(checks her watch) Oh, no, I have to go take an English makeup  exam. (gets her pile of books from the counter) They give you credit  just for speaking it, right?"
Buffy,(whines) Oh...
Willow,"Mm, sage. I love that smell. (reaches into a jar) And marnox  root. You know, a smidge of this mixed with a virgin's saliva... (gets a  look from Giles) Does something I know nothing about."
Giles,"These forces are not something that one plays around with,  Willow. What have you been conjuring?"
