character,dialogue
NB:,"The content of this transcript, including the characters           and the story, belongs to Mutant Enemy. This transcript was created           based on the broadcast episode."
BUFFYWORLD.COM,"prefers that you direct link to this transcript rather than post               it on your site, but you can post it on your site if you really               want, as long as you keep everything intact, this includes the link               to buffyworld.com and this writing. Please also keep the disclaimers               intact.</div>            <p>"
GILES (V.O.),<br>  Previously on Buffy the Vampire Slayer
1INT. SPIKE'S CRYPT - NIGHT,"<br>  <b>Buffy enters Spike's crypt, walking purposefully.</b>"
SPIKE,"<br>  If I'd've known you were coming, I'd've baked a cake."
BUFFY,<br>  Tell me you love me.
SPIKE,<br>  I love you.
BUFFY,<br>  Tell me you want me.
SPIKE,<br>  I always want you.
Cut to:,</p><p><b>2INT. SPIKE'S BOUDOIR - NIGHT</b><br>  <b>Buffy and Spike are lying naked under Persian rugs post coitus.</b>
SPIKE,<br>  Do you even like me?
Cut to:,"</p><p><b>3INT. SPIKE'S BOUDOIR - DAY</b><br>  <b>Fully clothed now, standing in a charred bedroom, Buffy talks to Spike.</b>"
BUFFY,<br>  It's over.
SPIKE,"<br>  I've memorized this tune, luv."
BUFFY,<br>  I'm using you... and it's killing me.
Cut to:,"</p><p><b>4INT. MAGIC BOX - NIGHT</b><br>  <b>It's Halloween, and all the Scoobies are at the Magic Box celebrating.</b>"
XANDER,<br>  We're getting married.
WILLOW (V.O.),<br>  Congratulations.
Cut to:,"</p><p><b>5INT. CHURCH - DAY</b><br>  <b>Talking to her bridesmaids and still wearing her wedding gown, Anya can't   believe what she's hearing.</b>"
ANYA,<br>  Xander's missing? What do you mean Xander's missing!
Cut to:,</p><p><b>6EXT. STREET IN SUNNYDALE - DAY<br>  Xander is walking through the streets of Sunnydale in his tuxedo in the rain.</b>
Cut to:,"</p><p><b>7INT. D'HOFFRIN'S LAIR - NIGHT<br>  Anya's still wearing her wedding dress and has been crying for hours. She's   not crying now, but instead looking forlorn, hurt and helpless.</b>"
D'HOFFRIN,"<br>  When you were a vengeance demon, you crushed men like him."
Cut to:,"</p><p><b>8INT. XANDER'S APARTMENT - NIGHT<br>  Xander is pleading with Anya, who is looking out the window with her arms crossed.</b>"
XANDER,<br>  I wish we could just go back to the way things were before.
ANYA,<br>  And I wish you were never born.
Cut to:,</p><p><b>9INT. BATHROOM IN BUFFY'S HOUSE - NIGHT<br>  Spike has Buffy pinned to the ground. She struggles against him wearing her   bathrobe.</b>
SPIKE<br>,I'm gonna make you feel it.
BUFFY,<br>  Ah! Stop!
BUFFY,<br>  Ask me again why I could never love you.
Cut to:,"</p><p><b>10EXT. BUFFY'S BACKYARD - DAY<br>  Warren shoots at Buffy, who is in her backyard with Xander. Meanwhile, while   running away, Warren fires a random shot that goes through the upstairs window   into Willow and Tara's bedroom. </b>"
Cut to:,</p><p><b>11INT. WILLOW AND TARA'S BEDROOM - DAY<br>  Tara is shot and falls to the floor. Blood spatters Willow's shirt.</b>
WILLOW,"<br>  Tara? Oh, God!"
Cut to:,"</p><p><b>12EXT. WOODS SOMEWHERE IN SUNNYDALE - NIGHT<br>  Warren is strung up between a pair of trees. He is tied at four points, splayed   out like the famous DaVinci diagram. Warren calls for help.</b>"
WARREN,<br>  Somebody!
Cut to:,"</p><p><b>13EXT. DARK TEMPLE ON PACIFIC COAST CLIFF   - DAY<br>  Willow is using her powers to activate a trigger at the temple that will end   the world. Xander interferes, and hugs her as she sobs.</b>"
XANDER<br>,I love you.
Cut to:,"</p>  <p><b>14INT. CAVE     SOMEWHERE IN AFRICA - NIGHT<br>    Spike is exhausted and beaten, but demands his prize nontheless.</b>"
SPIKE<br>,Make me what I was.
DEMON,<br>  We will return your soul.
Cut to:,</p><p><b>15EXT. ENGLISH COUNTRYSIDE - DAY</b>
WILLOW,"<br>  When you brought me here, I thought it was to kill me. Instead, you go all Dumbledore   on me."
GILES,<br>  Do you want to be punished?
WILLOW,"<br>  I killed people, Giles."
GILES,<br>  I've not forgotten.
Cut to:,</p>  <p><b>16INT. COFFEE     SHOP - DAY</b><br>    <b>Halfrek and Anya are having coffee together.</b>
HALFREK<br>,"Something's rising. Something older than the old ones, and everybody's tail   is twitching. This is a bad time to be a good guy."
Cut to:,</p>  <p><b>17EXT. NEW SUNNYDALE     HIGH SCHOOL - DAY<br>    </b><b>Zoomed in on a large pair of scissors. A man is using them to cut a     huge red ribbon. Pan out to a press conference and grand opening ceremony     with reporters and city officials standing around.</b>
PRINCIPAL<br>,It is my great pleasure and privilege to announce the official opening&#151;on   the very ground that it first stood upon&#151;of the brand new Sunnydale High!
Cut to:,</p>  <p><b>18INT. HALLWAY     AT SUNNYDALE HIGH - DAY<br>    Buffy is talking to Principal Wood.</b>
BUFFY<br>,Are you asking me to be a counselor?
Cut to:,"</p><p><b>19INT. BASEMENT SUNNYDALE HIGH - DAY<br>  Buffy jumps down into the basement from a hole in the bathroom floor (see episode   7x01 &quot;Lessons&quot;). Buffy found Spike in a room all by himself. His his   hair is dishelveled and long, his shirt is open, and his chest is scratched   up. She reaches toward his wounds.</b>"
BUFFY,<br>  Spike? What did you do?
SPIKE,<br>  This is my home. I belong here. Always been here. Cheers for stopping by.
BUFFY,<br>  I'll get back to you.
Fade to black.,"</p><p>END OF TEASER<br><br><a NAME=""beginning""></a><center><font color=""#B00000"" size=+3 face=verdana>The Start Of Episode</font><br></center>"
"20EXT. NIGHTCLUB - NIGHT<br>  Loud techno music is playing. A bright blue neon sign is pointing to the club,   that reads &quot;Tatoo Nachtlocal.&quot; Zoom down to street level, where a   sign points to &quot;Parkplatz.&quot; We see a car driving toward the building.","</p><p><b>TITLE CARD: Frankfurt, Germany</b>"
Zoom back up to the third floor where we can see through the glass hallway.   Zoom inside.,"</p><p><b>21INT. PARKING GARAGE - NIGHT<br>  A girl is running and looks scared. She has hot pink hair with black bangs at   her forehead, a nose ring, and a metal collar. She's wearing all black, with   a skeleton shirt, long pants, a leather jacket and boots. She goes through an   interior door and jumps down to the next level. Two people are chasing her.   They look suspiciously like the robed men from episode 7x01 &quot;Lessons&quot;.   We can't see any details of their bodies, just the hooded cloaks that completely   cover them. She runs out through an exterior door and proceeds to scale down   the building. Finally, she thinks she's safe when she goes through a doorway   to the outside near a crowd of club patrons, but she is pushed back inside by   her pursuers. They close the door behind them and start to fight with her. She   is knocked to the ground, lying on her back. Finally, one of the robed people   pulls out a curved silver dagger and tries to stab her, but she blocks his move.   The other robed person also has a dagger though and stabs her. She winces, and   the men resheath their daggers and leave. After the girl appears dead, she turns   her head to look directly in the camera and speaks in a low, unnatural sounding   voice.</b>"
GERMAN GIRL,"<br>  From beneath you, it devours."
Cut to:,</p>  <p><b>22INT. BUFFY'S     BEDROOM IN BUFFY'S HOUSE - NIGHT<br>  Buffy screams. </b>
BUFFY (O.S.),<br>  Ah!
DAWN,<br>  Buffy! Buffy! Buffy!
BUFFY,<br>  I heard screaming.
DAWN,<br>  That was you.
BUFFY,<br>  There was a girl.
DAWN,<br>  That would be me.
BUFFY,"<br>  Uh, no. It was..."
DAWN,"<br>  Just a dream. It was just a dream, right?"
BUFFY,"<br>  From beneath you, it devours. That's what she said, and then they... There's   more like her, Dawn. Out there somewhere."
BUFFY,<br>  And they're gonna die.
Zoom out the window to the street.,</p><p><b>Cut to:</b>
"23EXT. NEIGHBORHOOD     STREET - NIGHT<br>  We see grass and hear rumbling noises coming from underground. The force is   progressing along a path, like it's caused by something specific that is moving   purposefully underground. Shrubs are shaking and a birdbath falls over. Then   the sidewalk is pushed up from underneath, cracking. A curvy line is cut down   the street.",</p><p><b>Opening credits and title sequence.</b>
"24INT. BASEMENT SUNNYDALE HIGH - DAY<br>    Water is dripping down the walls, like in a typical basement. Zoom to cute     rat sitting on boxes in foreground. The rat squeaks. Zoom to background, crouched     behind some boxes, Spike is stalking the rat, crawling slowly toward it between     the boxes.","</p><p><b>SPIKE<br>  </b>No, no, no, no, no, no. Now is not the time. You know it. I know it. But   making them understand... is a totally different matter. No manners is the problem.   Proper breeding. Lack of etiquette. All of it lacking. All of it lost on them."
SPIKE,<br>  Not the time. Not hardly ready.
SPIKE,"<br>  Stop. Please, mum! Begging now! Make it stop! Oh, God!"
SPIKE,<br>  Ooh! Aaahhhh!
Cut to:,"</p><p><b>25INT. XANDER'S CAR - DAY<br>  Dawn is in the backseat of Xander's four-door sedan. Xander's driving, and Buffy   is the passenger. Xander is driving Buffy and Dawn to school.</b>"
