character,dialogue
Buffy,This is so unfair.
Willow,I don't think it's that bad.
Buffy,It's the Ueber-suck. Mom could've at least warned me.
Xander,"Well, a lot of parents are doing it this year. It's part of  this whole cultural exchange magilla. The exhibit, the dance..."
Willow,I have the best costume for the dance!
Buffy,"A complete stranger in my house for two weeks. I'm gonna be  insane! A danger to myself and others within three days, I swear."
Xander,I think the exchange student program's cool. (gets a look from  Buffy) I do! It's a beautiful melding of two cultures.
Buffy,Have you ever done an exchange program?
Xander,My dad tried to send me to some Armenians once. Does that  count?
Cordelia,Ooo! There's mine! Sven. Isn't he lunchable? Mine's  definitely the best.
Buffy,What're you lookin' at?
Cordelia,"Pictures of our exchange students. Look. 100% Swedish, 100%  gorgeous, 100% staying at my house! So, how's yours? Visually, I mean."
Buffy,I don't know. Guy like?
Xander,"By guy-like we are talking big, beefy, guy-like girl, right?"
Buffy,I was just told 'guy'.
Cordelia,You didn't look at him first? He could be dogly. You live on  the edge. (walks off)
Xander,"Hold on a sec. So, this person who's living with you for two  weeks is a man. With man parts. This is a terrible idea."
Willow,What about the beautiful melding of two cultures?
Xander,"There's no melding, okay? He better keep his parts to himself."
Buffy,What's he doing?
Xander,"Uh, that's Rodney Munson. He's God's gift to the bell curve."
Xander,What he lacks in smarts he makes up in lack of smarts.
Willow,You just don't like him 'cause of that time he beat you up  every day for five years.
Xander,Yeah. I'm irrational that way.
Buffy,(smiles) I better stop him before he gets in trouble.
Willow,I got it. The non-violent approach is probably better here.  (goes over to Rodney)
Buffy,I wasn't gonna use violence. I don't always use violence. (looks  up at Xander) Do I?
Xander,The important thing is *you* believe that.
Rodney,"What're you... (looks up) Oh. Willow, hi."
Willow,That's probably not something you're supposed to be doing. You  could get in trouble.
Rodney,"(facetiously) Oh, no. And they might kick me outta school?"
Willow,(smiles) Are we still on for our chem tutorial tomorrow?
Rodney,Yeah. I think I got almost all fourteen natural elements  memorized.
Willow,There're a hundred and three.
Guide,"Welcome, students. We shall now proceed into the Incan burial  chamber. The human sacrifice is about to begin."
Xander,"Typical museum trick. Promise human sacrifice, deliver old pots  and pans."
Guide,"Five hundred years ago, the Incan people chose a beautiful  teenage girl to become their princess."
Willow,"I hope this story ends with, 'And she lived happily ever  after.'"
Xander,"(looks into the coffin) No, I think it ends with, 'And she  became a scary, discolored, shriveled mummy.'"
Guide,"The Incan people sacrificed their princess to the mountain god  Sebancaya, an offering buried alive for eternity in this dark tomb."
Willow,"They could've at least wrapped her in those nice white  bandages, like in the movies?"
Guide,The princess remained there protected only by a cursed seal  placed there (points to the plate in the mummy's hands) as a warning to  any who would wake her.
Xander,"So, Buffy, when's exchange-o boy making his appearance?"
Buffy,His name's Ampata. Gonna be at the bus station tomorrow night.
Xander,Ooo. The Sunnydale bus depot. Classy! What a better way to  introduce someone to our country than with the stench of urine.
Guide,"Now, if you'll follow me this way, please."
Rodney,Aha. Cool.
Rodney,Oh! Damn!
Buffy,"So, can I go?"
Giles,I think not.
Buffy,(pouts) How come?
Giles,Because you are the Chosen One.
Buffy,Mm. Just this once I'd like to be the Overlooked One.
Giles,"Well, I'm... afraid that is not..."
Giles,You have responsibilities that other girls do not.
Buffy,"Oh! I know this one! Slaying entails certain sacrifices, blah,  blah, bity blah, I'm so stuffy, gimme a scone."
Giles,(sarcastically) It's as if you know me.
Giles,Your secret identity is gonna be difficult enough to maintain  while this exchange student is living with you.
Xander,Nooot... *with* her. In the same house as her. Am I the only  one who's objective enough to make that distinction? (goes to the  counter)
Buffy,"So! I think going to the dance like a normal person would be the  best way to keep that secret. Giles, come on, budge! No one likes a non- budger."
Giles,FINE!
Giles,Go.
Buffy,(smiles) Yay! I win.
Giles,"I'll just go and introduce my shoulder to a, an icepack."
Xander,"(hops off of the counter) So, I guess we're dance-bound. Cool.  I think I can get my mom's car, so I'm wheel man."
Buffy,I thought you were taking Willow.
Xander,"Well, yeah, I'm gonna take Willow, but I'm not gonna *take*  Willow. In the sense of 'take me'. See, with you we're three and  everybody's safe. Without you, we're two."
Buffy,"Ah, and we enter dateville. Romance, flowers..."
Xander,Lips.
Buffy,"Oh, come on. In all the years you've know Willow, you've never  thought about her lips?"
Xander,"Buffy, I love Willow."
Xander,And she's my best friend. Which makes her not the kind of girl  who I think about her lips that much.
Xander,She's the kind of girl that... I'm best friends with.
Willow,Hey guys.
Xander,Willow! (goes to her) Hi! We were just talkin' about happy  things.
Xander,Like the three of us going to the dance together. See? (laughs)  Happy!
Xander,Not happy.
Willow,"No. Uh, oh, y-yes. No. Rodney's missing."
Giles,(comes out of his office with an ice pack) Trouble with Mr.  Munson again? (puts it on his shoulder)
Willow,His parents say he never came home last night.
Buffy,"Y'know, I don't think I remember seeing Rodney on the bus back  from the field trip."
Willow,I didn't either. I hope he didn't get in trouble at the museum.
Xander,"(chuckles) Hey, maybe he awakened the mummy."
Willow,"(giggles) Right, and it rose from its tomb."
Buffy,(smiles) And attacked him. (nods)
