character,dialogue
Lyrics,<I>The way you love / Have you got a name for it / Cause I don't  understand it</I>
Lyrics,<I>The language is an annoying necessity / And I depend on all the  regular things</I>
Lyrics,<I>Got a list tattooed on my memory / Of how our tryst should  unfold</I>
Lyrics,<I>I'm falling from the opposite</I>
Ben,Hey.
Lyrics,<I>What good is it</I>
Ben,I'm Ben. We had Algebra II together last year.
Lyrics,<I>Fight the map with no key attached</I>
Buffy,"Sorry, I pretty much repress anything math-related."
Lyrics,"<I>My heart's enlarged, and I charge / What do you say</I>"
Ben,Ms. Jackson? Second period? You sat in the seat three over and one  behind.
Lyrics,<I>To a dream that won't go away</I>
Buffy,"Oh! Yeah, I remember now, it's the one with the desks and the  chalkboards and pencils and stuff, right?"
Ben,That's the one. (chuckles)
Buffy,(smiles and points at her head) Like a steel trap.
Lyrics,<I>'Cause I don't know if I can stand it</I>
Ben,"So, I was wondering, you know the dance tomorrow night? Are you  going?"
Buffy,You mean the Sadie Hawkins thing? The deal where the girls ask  the boys?
Ben,Yeah.
Lyrics,<I>Forever isn't something you want to be</I>
Ben,"And I thought maybe, you know, if you're free, you might ask me."
Lyrics,<I>And I rely on familiar things</I>
Buffy,"Oh, gosh... (exhales) I..."
Ben,"(holds up his hand) Oh, oh, hey, hey, no, don't, don't worry about  it..."
Buffy,"No, no, you seem like a really great guy, it's..."
Lyrics,<I>Seven days all have special meanings</I>
Buffy,...me. I-I'm not seeing anybody.
Lyrics,<I>But you just call it a week</I>
Buffy,"Ever again, actually."
Ben,"Oh. That's, that's too bad."
Lyrics,<I>I'm falling from the opposite / What good is it</I>
Ben,"Okay, well, I better... (indicates away and goes)"
Lyrics,<I>Fight the map with no key attached</I>
Buffy,(to herself) Sorry.
Lyrics,"<I>My heart's enlarged, and I charge</I>"
Lyrics,"<I>I'm falling from the opposite / What good is it / Fight the map  with no key attached / My heart's enlarged, and I charge</I>"
Willow,Hey! You're bailing?
Buffy,"Yeah. I'm gonna stop by the library and see if Giles wants me to  patrol, and then sack it."
Willow,"You've been doing that a lot. Patrolling and sacking. In fact,  you've kind of been All-Work-And-No-Play Buffy."
Buffy,"I play. I have *big* fun. I came here tonight, didn't I?"
Willow,"You came, you saw, you (glances up) rejected."
Buffy,You mean that guy? Just not in date mode right now.
Willow,"(smiles) Well, maybe you need to date to get in date mode."
Buffy,"I don't think I'm ready for that, Will."
Willow,You're thinking too much. Maybe you need to be impulsive.  (smiles)
Buffy,"Impulsive? Do you remember my ex-boyfriend, the vampire? I slept  with him, he lost his soul, now my boyfriend's gone forever, and the  demon that wears his face is killing my friends. The next impulsive  decision I make will involve my choice of dentures."
Willow,"Okay, the Angel thing went badly, I'm on board with that, but  that's not your fault. And anyways, love isn't always like that. Love  can be... (smiles) nice!"
Boy,(angrily) Come back here! We're not finished!
Boy,"You don't care anymore, is that it?"
Girl,"(sobbing) No, it doesn't matter, it doesn't matter what I feel."
Boy,Then tell me you don't love me. (shakes her) Say it!
Girl,Will that help? Is that what you need to hear? I don't. I don't!  Now let me go. (tries to go)
Boy,No! A person doesn't just wake up one day and stop loving  somebody.
Boy,Love is forever.
Boy,I'm not afraid to use it. I swear! If I can't be with you...
Buffy,Hey!
Girl,"Oh, my God!"
Boy,"DON'T WALK AWAY FROM ME, BITCH!"
Boy,What happened?
Buffy,What happened?! You just went O.J. on your girlfriend!
Boy,This is nuts! I... I don't know why I got so mad.
Buffy,Because you're a jerk?
Girl,He's not. We weren't even fighting a few minutes ago.
Boy,"We weren't, I, I swear to God!"
Buffy,"If you weren't fighting, then why'd you have a gun?"
Boy,"I don't, I don't know. I don't even know where I got it."
George,I don't see any gun.
Snyder,I'm sure you know why I asked you here.
Buffy,To thank me?
Snyder,"(walks around his desk) That's right, I wanna thank you. What  would Sunnydale High do without you around to incite mayhem, chaos and  disorder?"
Buffy,"I don't incite! I stopped that boy from killing his girlfriend,  ask him. Ask the janitor."
Snyder,"People can be coerced, Summers. I'm no stranger to conspiracy.  I saw JFK. I'm a truth seeker. I've got a missing gun and two confused  kids on my hands. Pieces of the puzzle. And I'm gonna look at all the  pieces carefully and rationally, and I'm gonna keep looking until I know  exactly how this is all your fault."
Secretary,"Mr. Snyder, Billy Crandal chained himself to the snack  machine again."
Snyder,(to the intercom) Pathetic little no-life vegan.
Snyder,"Not so fast, missy. I'm not done with you yet. You stink of  lies."
Willow,"So, for next time read the chapters on information grouping and  binary coding."
Willow,"I bet you'll think coding is pretty cool. I mean, if you find  two-digit, multi-stacked conversions and primary number clusters a big  hoot."
Willow,"Giles! (goes to him) I made them laugh, did you hear? I did the  joke thing! (smiles) (goes back to the desk)"
Giles,"Yes, yes, so it seems. I-I mean, um, (approaches the desk) uh,  you did indeed. Good, good, good show. I-I-I just stopped by to, to see  if you needed any assistance, (sits on the desk) but you seem to have  things quite under control."
Willow,"(puts things away) Well, I had good lesson plans. Ms. Calendar  had them on her computer."
Giles,"Yes, yes, she was very, um... uh, dedicated."
Willow,And I found a bunch of files and Internet sites on paganism and  magic and stuff. (smiles)
Giles,Oh?
Willow,"Yes, it's really interesting."
Willow,"(reaches for something on the desk) And, uh, I found this in  her drawer. (Giles looks up) She told me it was a rose quartz. (Giles  looks at her hands) And it has healing powers."
Willow,I thought she'd want you to have it.
Giles,"Oh, thank you, Willow, that's, um... that's very thoughtful of  you."
Teacher,"Before 1935, the new deal focused on revitalizing stricken  business and agricultural communities. And the new deal also tried to  regulate the nation's financial hierarchy to avoid another disaster like  the 1929 stock market crash."
James,I like it. Very much. It's honest.
Teacher,"...hours, child labor..."
Teacher,...and collective bargaining.
Teacher,"Oh, my God!"
Boy,(smiling) Did you see what he wrote?
Buffy,"I'm telling you, something weird is going on."
Xander,Something weird is going on. Isn't that our school motto?
Buffy,Pretty much. But I don't know. This time it bugs me.
Xander,"I don't wanna poo-poo your wiggins, but a domestic dispute, a  little case of chalkboard Tourette's? All sounds like Hellmouth Lite to  me."
