character,dialogue
</center><center>Original Air Date,"November 6, 2001</center><hr WIDTH=""100%"">"
"Transcribed by Joan the English Chick (<a href=""mailto","pisces@englishchick.com"">pisces@englishchick.com</a>)."
<b>Transcriber's Notes,"</b><ul><li>I do not own the characters or situations of BTVS, and I claim no credit for the content of this episode. I have merely transcribed what appeared on my screen, with help from the closed captions.<li>I prefer that you link to this transcript on the Psyche site rather than post it on your site, but you can post it on your site if you want, as long as you keep my name and email address on it. Please also keep my disclaimers intact.<li>You can use my transcripts in your fanfiction stories; you don't have to ask my permission. (However, if you use large portions of episode dialogue in your fanfic, I recommend you give credit to the person who wrote the episode.)<li>I apologize in advance for my lame transcription of the fight scenes. I don't know the names of different punches and kicks. Use your imagination.</ul>"
GILES VOICEOVER,Previously on <I>Buffy the Vampire Slayer...</I>
SPIKE,I love you.
BUFFY,Oh my god.
WILLOW,Here lies the warrior of the people. Let her cross over.
BUFFY,"I think I was in heaven. I was torn out of there, by my friends. They can never know."
GILES,We can't ignore this kind of behavior.
GILES,Something needs to be done before it spins out of control.
BUFFY,I'm glad you're here to take care of it.
XANDER,We're getting married.
TARA,Congratulations.
TARA,"Willow, you are using too much magic."
TARA,Can we not do this now?
WILLOW,Just ... forget it ever happened.
WILLOW,Forget.
"Open in Buffy's bedroom, morning. The words ""<I>Once More, With Feeling</I>"" splash across the screen in the style of an old movie musical. Pan down to reveal an old-fashioned alarm clock (the kind with actual bells). The clock hits 7",00 and the alarm goes off.
"The overture music is a medley of the musical themes from the rest of the episode. As it plays, we see the following action",
Song,"""Alive"""
BUFFY,(verse one)
BUFFY,
BUFFY,<font color=#0000cc>Nothing seems to penetrate my heart.</font>
BUFFY,(verse two)
BUFFY,
VAMP 1,
BUFFY,<font color=#0000cc>Thanks for noticing.</font>
VAMPS AND DEMON,
DEMON,
VAMP 2,"<font color=#0000cc>Faking it somehow.</font> [Buffy pushes him aside, stabs the demon]"
