character,dialogue
Buffy,Gotcha!
Angel,(defeated) Uhh! Right in the heart.
Buffy,(smiling) Satisfied?
Angel,I'm not sure that's the word.
Buffy,(taken aback) Okay.
Buffy,I didn't mean 'satisfied' like...
Angel,"No, I, I wasn't trying to..."
Buffy,(awkwardly) 'Cause we're not having satisfaction in the personal sense.
Angel,Of course. (exhales)
Buffy,(smiles) I should go. (walks past him) Giles is...
Angel,(turns with her) ...is waiting for you. (Buffy faces him) I know.
Buffy,(smiling) Thanks. For the workout.
Angel,"(nods) Um, am I gonna see you this weekend? You, uh, you-you probably have plans."
Buffy,"Right, birthday. Um, actually, I, I do have a thing."
Angel,"Oh, a thing. (trying to be cool) A date?"
Buffy,"(nods) Nice attempt at casual. Actually, I do have a date. (steps closer) Older man. Very handsome. He likes it when I call him 'Daddy'."
Angel,"(smiles) Huh, your father. (frowns) It is your father, right?"
Buffy,He's taking me to the ice show. (Angel sighs with relief) Which should be big fun. I could use a little fun.
Giles,This one?
Buffy,Amethyst.
Giles,Used for?
Buffy,Breath mints? (looks up at him)
Giles,"(exasperated) Charm bags, money spells, and for cleansing one's aura."
Buffy,"Okay, so how do you know if one's aura's dirty? Somebody come by with a finger and write (gestures with her crystal) 'wash me' on it?"
Giles,"(seriously) Buffy, I'm aware of your distaste for studying vibratory stones, but since it is part of your training, I would appreciate your glib-free attention."
Buffy,"Sorry. It's just with Faith on one of her unannounced walkabouts, I feel like somebody should be patrolling."
Giles,"(looks over the crystals) Well, Faith is not interested in proper training, so I must rely on you to keep up with yours."
Buffy,I hate being the good one.
Giles,"And as for patrolling, well, you'll be there soon enough. (suddenly curious) Why so anxious?"
Buffy,"I guess it... (suddenly self-conscious about her crystal, quickly puts it down) I just have some... energy to burn."
Giles,"Well, in due time, (puts his glasses on) but, uh, for the present, (selects the largest blue crystal) if it's not entirely beyond your capabilities, (sets it in front of Buffy) try to concentrate."
Buffy,"Wow, that was really funny-looking! (grins widely) Could you do it again?"
Vampire,I'll kill you for that. (jumps up)
Buffy,For that? What were you trying to kill me for before?
Buffy,"Okay, so here's the deal. (raises her stake)"
Vampire,Lemme know if I'm not doing this right.
Giles,Bit early in the day. (sips his coffee)
Buffy,"Giles, something's wrong."
Giles,(stops) Wrong?
Giles,Ah. Perhaps you shouldn't... (Buffy throws a knife and misses) ...do that anymore. (sets down his briefcase)
Buffy,"On top of that, I got a bad case of the dizzies last night and almost let a vamp stake me. With my own stake!"
Buffy,"I'm way off my game. (Giles sips again) My game's left the country. It's in Cuernavaca. Giles, what's going on here?"
Giles,"(sits) Well, perhaps you've got a bad flu bug or something."
Buffy,"No. No, not sick. I *can't* get sick. My dad's coming to take me to the ice show. We do it every year for my birthday. If I cancel, it's gonna break his heart."
Giles,"Well, just, um, take it easy for forty-eight hours. You know, forego patrolling until you feel yourself again."
Buffy,"No. No, I just need to spend a little more time training."
Buffy,I'm gone! (turns and leaves)
Giles,Thank you!
Xander,An ice show? A show performed on ice. And how old are we again?
