character,dialogue
66,"""Hush"" Transcript"
Narrator,"""Hush, a special Buffy"""
Walsh,"""So this is what it is.. talking about communication talking about language... not the same thing. It's about inspiration... Not the idea, but the moment before the idea when its {{total}} When it blossoms in your mind and connects to everything. It's about the thoughts and experiences that we don't have a word for.  A demonstration. Buffy, Summers, come on down {{to}} the front here."""
Walsh,"""A  typical college girl, one assumes."""
Walsh,"(to buffy) ""Lie down on my desk"""
Buffy,"""what?"""
Walsh,"""Go ahead, you're perfectly safe."""
Buffy,"""oh"""
Walsh,"""Riley, if you could oblige."""
Riley,"""A demonstration, {{right/alright}}."""
Walsh,"""Be a good boy."""
Buffy,"""This feels very strange."""
Riley,"""Don't worry. {{If}} I kiss you ((it'll}} make the sun go down."""
Riley,"""See."""
Buffy,"""Fortune favors the brave."""
Buffy,"""do you hear that?"""
Girl,"""Can't even shout. Can't even cry. The gentlemen are coming by looking in windows knocking on doors. They need to take seven and they might take yours. Can't call to mom can't say a word. You're gonna die screaming but you won't be heard"""
Walsh,"""So I'll see you all monday for a final review session"""
Willow,"""Man that was an exciting class, hunh?"""
Buffy,"""oh yeah well"""
Willow,"""And the last twenty minutes was a revelation just laid out everything we need to know for the final I'd hate to have missed that."""
Buffy,"""Just tell me I didn't snore."""
Willow,"""Very discreet, minimal drool"""
Buffy,"""Oh yea."""
Willow,"""So were you dreaming?"""
Buffy,"""yeah, it was kind of intense"""
Riley,"""Intense, really? cause you seemed so peaceful."""
Buffy,"""Of course it was only for a moment."""
Riley,"""Right. Hey you guys headed over towards {Jud}"""
Riley,"""Ah, student center"""
Riley,"""Oh great. So this dream."""
Willow,"""You know, you guys go I'm gonna do the thing."""
Willow,"""So I'll see you after Wicca group"""
Willow,"""Bye."""
Buffy,"""Bye."""
Riley,"""Bye."""
Riley,"""So tell me about your dream."""
Riley,"""As a psyche major I'm qualified to go 'hmmm'"""
Buffy,"""I don't really remember it"""
Riley,"""Well, did I appear at all in this dream?"""
Buffy,"""there might have been a cameo"""
Riley,"""is that right?"""
