character,dialogue
Buffy,So Maggie sends me down into the sewers with one of those blasto guns and the next thing I know it's raining monsters.
Xander,Hallelujah.
Buffy,And then this gate slams down behind me and I-I try to use the gun but it goes pfft.
Giles,You're saying that Maggie Walsh set you up?
Buffy,That's exactly what I'm saying. She sent me on a one way recon.
Spike,Got to hand it to you goldilocks - you do have bleeding tragic taste in men. I've got a cousin married to a regurgitating {{frovilops}} demon {that's} got better instincts than you.
Buffy,What does my taste in men have to do with this?
Spike,You think Riley was out knitting booties for your future offspring while Maggie stringing you up?
Buffy,You guys think Riley had something to do with this.
Giles,"Um, probably not but we, uh, be remiss if we didn't think all the possibilities {through}."
Buffy,"{Great./Right.} Remiss.  No! No, Maggie made sure that he was nowhere around when she sent me on this very special make Buffy dead assignment."
Willow,Plus Riley he seems like he wouldn't tell a little white lie let alone a whole bunch of big dirty ones.
Xander,"That's why they call it the secret forces Will, cause they kinda keep the whole lying thing to themselves."
Buffy,All I know is that Maggie has it in for me which means the Initiative has it in for me.
Xander,I'm guessing the mad scientist isn't too keen on the fact that the entire scooby gang knows that the Initiative is up to no good.
Buffy,Which brings us back to the not safe for any of us concept.
Giles,What could have happened to make Professor Walsh want to kill you?
Buffy,"I don't know, uh.  She wasn't keen on the fact that I was asking a lot of questions that's for sure."
Anya,So you were getting too close to something.
Giles,Clearly. Although one can only imagine what she'd be so desperate to hide.
Buffy,Everybody grab a weapon. We've gotta move.
Xander,Storm the Initiative.  Yeah let's take on those suckers.
Buffy,I was thinking more that we'd hide.
Xander,Oh thank God.
Giles,I think perhaps we should talk about this.
Buffy,We need to relocate someplace we're less likely to be found. We need to come up with a plan.
Willow,We could go to my place.
Buffy,"The Initiative guys know how close we are.  They'll automatically check the places that you hang out.  Xander, what about your basement?  The guys haven't seen us together that much and there's enough room."
Willow,Ooh Plus mirrored ball.
Xander,Cool! Come on down and boogie at Xander's hideaway.
Giles,Absolutely not! I will not squat in that dank hole.
Spike,"What, it was good enough for me, but you're above it all?"
Giles,Precisely.  Besides I-I don't see why we can't stay right where we are.  Pfft.  It's very unlikely that those Initiative boys are going to come round here to look for uh_
Riley,Buffy!  God Buffy are you ok?  What happened?
Buffy,You know?
Riley,I know something went down.  umph.  Tell me.
Buffy,Maggie tried to kill me.
Anya,"It didn't work, but they're all upset anyway."
Riley,Ok listen I need you to go over everything step by step. There has to be..has to be some kind of mistake
Xander,There was no mistake. And how do you know something happened?
Riley,I was on a mission but I came back and... I'm not sure..  Look let's just keep her heads and not jump to any _
Buffy,What?
Riley,That's hostile 17.
Spike,"No, I'm just a friend of Xaannderr's. Pfftt."
Spike,Bugger it.  I'm your guy.
Buffy,This is Spike. He's um.. It's a really long story b-but he's not bad anymore.
Spike,"Hey! What am I, a bleeding broken record? I'm bad it's just I can't bite anymore.  Thanks to you wankers."
Riley,We've been looking all over the place for him - but you've known where's he's been all along.
Buffy,It's not like that.
Riley,Then what is it like?.. What's he doing here?
Spike,"Leaving you swabs to your dramatics, thanks. I've got my stories on the telly for that."
Spike,By the by.  If you're trying to kill her.
Riley,"Buffy, what is this? You're hiding an H.S.T.?"
Xander,"Why don't you just back off and let her ask the questions, Jack?  Your boss just tried to make monster food out of her."
Buffy,What about 314? Maybe that's it.
Riley,Maybe she was trying to test you.  What if it was only a drill?
Buffy,Then why did she tell you I was dead?  Riley it wasn't a test.
Riley,No! That's - that's not what happens there.
