character,dialogue
Spike,"I'm not happy, pet. Angel and the Slayer are still alive. They  know where we are, they know about the Judge. We should be vacating."
Drusilla,(walks up to him) Nonsense. (takes his hand) They'll not  disturb us here. My Angel's too smart to face the Judge again.
Spike,(glances over his shoulder) What's Big Blue up to anyway? He  just sits there. (looks away)
Judge,I am preparing.
Spike,(rolls his eyes) Yeah. (turns and wheels over to him) It's  interesting to me that 'preparing' looks a great bit like sitting on  your ass. (facing him) When do we destroy the world already?
Judge,"My strength grows, and with every life I take it will increase  further."
Spike,So let's take some. I'm bored.
Spike,(looks back at her) Dru?
Drusilla,Angel...
Spike,(concerned) Dru? (rolls to her) What is it? (stops by her) Dru!
Spike,Darling... Do you see something?
Buffy,Angel?
Angel,Buffy...
Angel,"(frightened) Oh, no."
Hooker,Hey. You okay? (bends down to look at him) You want me to call  911?
Angel,(suddenly stands up) No. The pain is gone.
Hooker,You sure?
Angel,Yeah.
Angelus,I feel just fine.
Joyce,(off camera) Morning.
Buffy,Morning.
Joyce,"So, did you have fun last night?"
Buffy,Fun?
Joyce,At Willow's.
Buffy,"Yeah. (smiles) Yeah, fun at Willow's. You know, she's a fun  machine."
Joyce,You hungry?
Buffy,"No. Uh, no, I-I'm, uh, just gonna go take a shower."
Joyce,"Well, i-if you hurry, I'll run you to school."
Buffy,Thanks.
Joyce,Is something wrong?
Buffy,No. (shakes her head) What would be wrong?
Joyce,(staring) I don't know. You just look...
Xander,"Well, the bus depot was a total washout. And may I say what a  lovely place to spend the night. What a vibrant cross-section of  Americana."
Giles,No vampires transporting boxes?
Xander,"No, but a four-hundred-pound wino offered to wash my hair.  (looks at everyone) What's up? Where's Buffy?"
Willow,She never checked in.
Giles,If the bus depot is as empty as the... docks and the airport...
Xander,Do you think this Judge guy's already been assembled?
Giles,Yes.
Xander,"Then Buffy could be... Okay, we gotta find 'em. (thinks) Um, we  gotta go to that place, that, uh, that factory. That's where they're  holed up, right? (looks back at Willow and Jenny) Let's go."
Cordelia,And do what? Besides be afraid and die.
Xander,"Well, nobody's asking you to go, Cordelia. If the vampires need  grooming tips we'll give you a call."
Giles,"Cordelia has a point. Now, i-i-if Buffy and Angel were, were...  harmed, then we don't stand to fare much better."
Xander,"Yeah? Well, those of us who were born with feelings are gonna  do something about this."
Jenny,Xander.
Willow,"No, Xander's right! My God, you people are all... Well, I'm  upset, and I can't think of a mean word right now, but that's what you  are, and we're going to the factory! (starts out)"
Xander,Yeah! (follows)
Willow,Buffy!
Xander,We were just going to rescue you.
Willow,"(throws Giles a look) Well, some of us were."
Giles,"Well, I-I would have."
Jenny,Where's Angel?
Buffy,He didn't check in with you guys?
Giles,No.
Cordelia,(slides off the counter) What happened?
Giles,"The Judge, i-is he..."
Buffy,No assembly required. He's active.
Giles,"(whispers) Oh, damn it. (removes his glasses)"
Buffy,He nearly killed us. Angel got us out.
Giles,"Why didn't you call? We, we, we thought..."
Buffy,"Well, we, we had to hide. Uh, we got stuck in the sewer tunnels,  and with the hiding, we just split up... Uh, no one's heard from him?"
Willow,I'm sure he'll come by.
Buffy,"Yeah, I'm, I'm sure you're right."
Giles,"Buffy, the Judge, we, we must stop him."
Buffy,I know.
Giles,What can you tell us?
Buffy,"Not much. I, um... I kicked him. It was just like a sudden  fever. If he'd got his hands on me..."
Giles,"In time, he won't need to. The stronger he gets, he'll be able  to reduce us to charcoal with a look."
Buffy,"Also, not the prettiest man in town."
Giles,"I better continue researching, must look for a weak spot. The  rest of you should get to your classes."
Jenny,"Yeah, I better go, too."
Xander,"Yeah, yeah, yeah. (holds the door open)"
Willow,"Buffy, wait up!"
Jenny,"(stops on the way out) (to Giles) I'll, uh, go on the 'Net and  search for anything on the Judge."
Giles,Thank you.
Xander,After classes I'll come back and help you research.
Cordelia,"(pats him as she walks out) Yeah, you might find something  useful if it's in an 'I Can Read' book."
Willow,"You don't think Angel would have gone after the Judge himself,  do you?"
Buffy,"No, he'd know better than that. Maybe he just needed... I don't  know. I just, I wish he'd contact me. I need to talk to him."
Spike,"(smiles) Are we feeling better, then? (leans on the table)"
Drusilla,(sighs) I'm naming all the stars.
Spike,"You can't see the stars, love. That's the ceiling. Also, it's  day."
