character,dialogue
</center><center>Original Air Date,"March 12, 2002</center><hr WIDTH=""100%"">"
"Transcribed by Joan the English Chick (<a href=""mailto","pisces@englishchick.com"">pisces@englishchick.com</a>)."
<b>Transcriber's Notes,"</b><ul><li>I do not own the characters or situations of BTVS, and I claim no credit for the content of this episode. I have merely transcribed what appeared on my screen, with help from the closed captions.<li>I prefer that you link to this transcript on the Psyche site rather than post it on your site, but you can post it on your site if you want, as long as you keep my name and email address on it. Please also keep my disclaimers intact.<li>You can use my transcripts in your fanfiction stories; you don't have to ask my permission. (However, if you use large portions of episode dialogue in your fanfic, I recommend you give credit to the person who wrote the episode.)<li>I apologize in advance for my lame transcription of the fight scenes. I don't know the names of different punches and kicks. Use your imagination.</ul>"
<BLOCKQUOTE>GILES VOICEOVER,Previously on <I>Buffy the Vampire   Slayer</I>...
WILLOW,Hey Dawnie.
XANDER,"So, uh, anything new about Warren and the Nerd Herd?"
DAWN,No.
XANDER,"Man, a nerd goes into hiding, he really goes into hiding."
DAWN,Big wedding coming up ... lots of date possibilities   ... you and Tara are speaking again. You wanna call her?
WILLOW,No. But if   I did call? She wouldn't hang up on me.
DAWN,You can't even stand to be around me.
BUFFY,That is not   true.
DAWN,You didn't wanna come back.
BUFFY,It's over.
SPIKE,"I've memorized this tune, luv."
BUFFY,"I'm using you. And it's killing me. I'm sorry, William."
ANYA,This is it.
BUFFY,Are you ready to go?
WILLOW,He's gone.
ANYA,Xander's gone? Xander's missing?
ANYA,What do you mean Xander's missing?
Cut to,close shot on a computer monitor showing Buffy walking toward the   camera.
ANDREW,"Oh man, your face was priceless."
JONATHAN,"(angry) Yeah, real   funny."
WARREN,It serves you right for taking Z's on lookout   again.
JONATHAN,"What do you expect? I haven't had a decent night's sleep   since... (Warren glaring at him) I mean, I'm going Jack Torrence in here, you   know? Stuck in this basement for weeks! I mean, we rented the whole house,   can't we at least sleep upstairs?"
ANDREW,We're on the lam. We have to lay   low. Underground?
JONATHAN,"It's figurative, doofus! Did you even read   <I>Legion of Doom</I>? (Andrew jumping up in outrage)"
WARREN,"Okay, enough!   Midgetor, get back to the monitors. The last thing we need is to be surprised   by-"
ANDREW,(looking at monitors) Holy Geez Louise.
JONATHAN,The-the-
WARREN,The frickin' Slayer.
JONATHAN,She's right   there!
WARREN,"All right, don't panic. Andrew ... deploy your little   friend."
BUFFY,Oh. Hi.
BUFFY,"You didn't by chance happen to just eat a couple of nerds, did you?"
MAN 1,You're gonna hurt yourself!
MAN 2,She's gonna break the needle.   (removes needle from Buffy's arm) We're gonna have to strap her down.
Cut to,"UC Sunnydale campus, day. Various students walking around, etc."
WILLOW,"(OS) Hi, um, Tara, how are you?"
WILLOW,"W-well, I-I was wondering, maybe, you would wanna go out sometime?   For coffee ... food ... kisses and gay love? (sighs) Hi Tara. Guess what?   Magic-free now for, insert number, days now."
Cut to,close shot on a pile of french fries sitting in a hopper a heat   lamp. More fries in the boiler cooking.
LORRAINE,(OS) Buffy.
LORRAINE,Buffy.
FEMALE DOCTOR,"Come on, it's time for your drugs."
BUFFY,(confused) What?
LORRAINE,"I said, if I didn't know any better,   I'd think you were on drugs."
BUFFY,(confused) Okay. Good.
BUFFY,Whatcha doin'?
WILLOW,"I'm online, checking to see if Xander emailed."
BUFFY,(sits) Any   luck?
WILLOW,No such.
BUFFY,"(hopeful) Well, maybe Anya found him and   they're trying to work it out. (Willow shrugs) How come you're all, home,   hearth, and DSL anyway? I thought you were gonna go see Tara."
WILLOW,(unhappy) Saw her. Saw her completely.
BUFFY,Ouch. Just got a scratch from   all that brittle.
WILLOW,"It's... (closing laptop) ...when I was seeing   her, she was seeing someone else. A girl."
BUFFY,You mean-
WILLOW,"I   mean ... not ""seeing"" seeing. Well, maybe. I don't know, it was inconclusive,   and I didn't stick around to find out. Might have magicked my fist through a   wall or something,"
BUFFY,"(softly) Will, I'm sorry."
WILLOW,"I mean,   they're probably just friends. (pouty) I press my lips against my friends' all   the time."
BUFFY,"I'm sure they're just friends. Once you fall for Willow,   you stay fallen."
WILLOW,"Thanks, Buffy."
XANDER,Hi.
WILLOW,Xander?
XANDER,I'm back.
BUFFY,Xander?
WILLOW,"Xander, you're here!"
WILLOW,"We missed you, where were you?"
XANDER,"I know, I tried calling,   but I couldn't without..."
BUFFY,Hey. You don't need to explain to us.
XANDER,Right. Is she here?
WILLOW,"Oh ... n-no, you ... wanna find   her?"
XANDER,"I need to. Her suitcase is gone and some of her stuff. There's   a Closed sign on the Magic Box, which, like, chills me to the bone."
WILLOW,She left a couple days ago.
XANDER,"Was she looking for me? (Willow   fidgeting) Before she left, did she say anything?"
WILLOW,"You mean, between   sobs? (Xander looking guilty) There was mostly just wheezing."
BUFFY,She   was a little ... she was ... kinda broken.
XANDER,I don't know how stuff   got so mixed up! (sighs) I blew it.
BUFFY,"No. Well ... maybe it wasn't the   best time to break up with her, but..."
XANDER,"No. It wasn't about breaking   up. I love her, and god, I miss her so much."
WILLOW,"So, you left her at   the altar, but you still wanna-"
BUFFY,You still wanna date?
XANDER,"I   guess. I know that I'm a better person with her in my life. But things got so   complicated with the wedding, and with my family, and with her ... demons, and   ... what if it all goes to hell, a-and forever? (the girls looking   sympathetic) But then I left ... and ever since ... I've had this painful hole   inside. (Buffy looking pensive) And I'm the idiot that dug it out."
XANDER,I screwed up real bad.
BUFFY,Hey. We all screw up.
SPIKE,You lookin' for me?
BUFFY,Really not.
SPIKE,Oh. Right then. Off you go. (lighting up) Did you cry?
BUFFY,(stops walking) What?
SPIKE,"The wedding. Two hearts joined for eternity,   great pelting showers of rice and so forth."
BUFFY,You didn't hear.
SPIKE,What? Families get out of hand? Tear the place apart?
BUFFY,"No.   Well, yes, absolutely. But ... Xander left. The wedding didn't   happen."
SPIKE,(surprised) Well. Gotta say ... I didn't see that coming.   (sits on a bench)
BUFFY,It was awful. (sits nearby) Anya was   devastated.
SPIKE,Is that right.
BUFFY,"And, Xander ... thinks maybe   they can still get back together, but ... he hurt her a lot."
SPIKE,"Yeah,   well ... some people can't see a good thing when they've got it."
XANDER,(OS) Spike.
XANDER,I shoulda known you'd be tagging along.
BUFFY,"(stands) Hey,   guys. I, uh ... I found Spike and was, uh, trying to figure out what kind of   dangerous contraband he had."
SPIKE,"(looks disgusted, gets up) Tell you   what, Slayer. (drops his cigarette and grinds it out with one foot) Let me get   out of your way. (picks up grocery bag) I'll stop bothering you."
XANDER,"Yeah, maybe you should do that, Spike, just run along."
SPIKE,"You know, I   guess you know all about that, don't you? (going over to Xander) The king of   the big exit. (Xander lookng upset) Heard it brought the house   down."
XANDER,I don't need this crap from you.
SPIKE,Right. Let's not   listen to Spike. (turns to look at Buffy) Might get a bit of the truth on you.
WILLOW,"Okay, okay. Heh. Calm now. (Spike and Xander glaring at each other)   Let's, uh, turn around and release this very manly thing the other   way."
XANDER,"I forgot. Willy Wannabite can't hurt me. (to Spike) Dumb to   pick a fight, I guess."
WILLOW,Xander.
BUFFY,(weakly) Guys...
SPIKE,"More than happy to beat you right through   the pain, you pathetic poof."
BUFFY,"Guys, don't."
MAN,"Buffy, can you hear me?"
BUFFY,(panting) What is this?
DOCTOR,"Do you know where you are,   Buffy?"
BUFFY,(confused) Sunnydale.
DOCTOR,"No, none of that's real,   none of it. You're in a mental institution. (Buffy frowning at the floor,   shaking her head) You've been with us now for six years. Do you remember?"
WILLOW,Buffy? Are you okay?
XANDER,What happened?
DOCTOR,"It's okay, Buffy. Buffy, it's okay."
DOCTOR,Look. Look who's here.
JOYCE,Buffy?
JOYCE,"Welcome home, sweetie."
BUFFY,(softly) Mom?
JOYCE,"(tearful) Oh, baby, you're really   here."
BUFFY,(whispers) Dad?
DOCTOR,"She's lucid. Keep talking, maybe   the sound of your voice will ground her."
HANK,"Sweetheart ... we've missed you very much. Honey, can you hear me?"
JOYCE,"Oh, Buffy, stay with us, please."
BUFFY,Oh ... no!
SPIKE,"Here, let's get her back to my crypt."
XANDER,"Spike, just go,   okay? (Buffy looking confused) She's our friend, we'll take care of her."
BUFFY,"No, guys, I'm okay. I'm okay."
WILLOW,"Come on, Xander, help me   get her home."
SPIKE,(calls) Put a little ice on the back of her neck.
SPIKE,(to himself) She likes that.
BUFFY,"(OS) I've been having these flashes. Hallucinations, I guess."
WILLOW,Since when?
BUFFY,Uh ... night before last.
BUFFY,"I was, uh, checking houses on that list you gave me, and looking for   Warren and his pals ... and then, bam! Some kind of gross, waxy demon-thing   poked me."
XANDER,And when you say poke...
BUFFY,"(rolling her eyes) In   the arm. (Xander and Willow exchanging a look) It stung me or something, and   ... then I was like ... no. It, it wasn't ""like."" I *was* in an institution.   There were, um ... doctors and ... nurses and, and other patients. They, they   told me that I was sick. I guess crazy. And that, um, Sunnydale and, and all   of this, it ... none of it ... was real."
XANDER,"Oh, come on, that's   ridiculous! What? You think this isn't real just because of all the vampires   and demons and ex-vengeance demons and the sister that used to be a big ball   of universe-destroying energy? (pauses, frowns)"
BUFFY,"I know how this must   sound, but ... it felt so real. (softly) Mom was there."
DAWN,She   was?
BUFFY,"Dad, too. They were together ... (distantly) like they used to   be ... before Sunnydale."
WILLOW,"(stands up hastily, raises her hand) Okay!   All in favor of research? (Xander raises his hand) Motion passed. All right,   Xander, you hit the demon bars. Dig up any info on a new player in town."
WILLOW,"(OS)   Dawnie, you can help me research. We'll hop on-line, check all the-"
DOCTOR,"(OS) -possibilities for a full   recovery, (shot of the doctor sitting behind a desk) but we have to proceed   cautiously. If we're not careful--"
JOYCE,Wait.
JOYCE,Are you saying that Buffy could be like she was before any of this   happened?
DOCTOR,"(gets up, comes around the desk) Mrs. Summers, you have   to understand the severity of what's happened to your daughter. (sits on the   edge of his desk) For the last six years, she's been in an undifferentiated   type of schizophrenia."
HANK,We know what her condition is. (Buffy   frowning) That's not what we're asking.
DOCTOR,Buffy's delusions are   multi-layered. (Joyce and Hank listening intently) She believes she's some   type of hero.
JOYCE,The Slayer.
