character,dialogue
</center><center>Original Air Date,"October 30, 2001</center><hr WIDTH=""100%"">"
"Transcribed by Joan the English Chick (<a href=""mailto","pisces@englishchick.com"">pisces@englishchick.com</a>)."
<b>Transcriber's Notes,"</b><ul><li>I do not own the characters or situations of BTVS, and I claim no credit for the content of this episode. I have merely transcribed what appeared on my screen, with help from the closed captions.<li>I prefer that you link to this transcript on the Psyche site rather than post it on your site, but you can post it on your site if you want, as long as you keep my name and email address on it. Please also keep my disclaimers intact.<li>You can use my transcripts in your fanfiction stories; you don't have to ask my permission. (However, if you use large portions of episode dialogue in your fanfic, I recommend you give credit to the person who wrote the episode.)<li>I apologize in advance for my lame transcription of the fight scenes. I don't know the names of different punches and kicks. Use your imagination.</ul>"
GILES VOICEOVER,Previously on <I>Buffy the Vampire Slayer...</I>
XANDER,Anya! What's wrong with you?
ANYA,"First you, you give me this beautiful ring, and then I can't wear it in public. I mean, don't you wanna get married?"
XANDER,Yes.
DAWN,"Come on, Tara. I am so old enough to do research."
BUFFY,You do research now? Want a cappuccino and a pack of cigarettes to go with it?Dawn and Buffy in their house.
DAWN,Why should I care about any of this?
BUFFY,Because they'll take you away! If I can't make you go to school ... then I won't be found fit to be your legal guardian.
WILLOW,"Since you've ... been back, you haven't exactly been big with the whole range of human emotions thing.Spike and Buffy in the house."
SPIKE,I know you'll never love me. But you treat me like a man.
ANYA,"(to customer) Um, everything on this table's half off. Including the table."
ANYA,"(to second customer) Buy one eyeball, get the second one free!"
XANDER,"Arrr! Careful, me mateys! These be fireflies spat from a volcano off the coast of Katmandu. Arr!"
LITTLE BOY,(dressed as a fireman) You're not a real pirate! Real pirates live on boats and don't look stupid!
XANDER,"(fake laugh) Oh, a salty swabbie! Maybe you be fishin' for the taste ... of me hook!"
GILES,"(calls) Uh, hello, Ahab, a little help please?"
XANDER,"Arr, and help ye shall have, arr!"
DAWN,So what are you supposed to be?
ANYA,An angel.
DAWN,Oh. Shouldn't you have wings?
ANYA,"Oh no, this is a special kind of angel called a Charlie. We don't have wings, we just skate around with perfect hair fighting crime. Where's your costume? (skates away)"
DAWN,(follows) Like I'm six years old? Halloween's so lame.
ANYA,"But you get to dress up, and play games! Xander's gonna teach me a new one after work called Shiver Me Timbers. Ever play?"
TARA,"Uh, Dawn, Willow could use some help in magical texts."
DAWN,(grins) I'm all over it. (walks away)
ANYA,"(to Tara) How 'bout you, ever play Shiver Me Timbers?"
TARA,I'm not really much for the timber.
WILLOW,(angrily) I'm just saying you might wanna rethink the stereotype before someone turns *you* into a toad.
WILLOW,"And while you're at it, why don't you try removing that broomstick from your-"
WILLOW,(catches herself) Dawn!
DAWN,Hey. Don't stop the invective on account of me.
WILLOW,If I see one more idiot that thinks witches are all hairy moles and rotted teeth-
WITCHY-POO,"Excuse me, do you have any candy corn?"
WILLOW,"Oh, look at you! (kneels by the girl) You are just the cutest thing!"
DAWN,I-I thought you said-
WILLOW,"I know, but look, with the hat, and the, the wart! (smiles) Oh! Let's go fill your tummy up with sugary niblets, okay?"
ANYA,(OS) Buffy!
ANYA,We're running low on mandrake root. Check the basement. (skates off)
BUFFY,(to herself) Don't blame me if we have this conversation over and over... (walks off)
BUFFY,"...and over ... and over, and over."
BUFFY,Oh!
BUFFY,Bell. Neck. Look into it.
SPIKE,"Come with a nice leather collar, does it?"
BUFFY,What are you doing lurking down here?
SPIKE,(sighs) Came through the tunnels. (holds up a handful of vines) Running low on burba weed. Stir it in with the blood. Makes it all hot 'n spicy.
SPIKE,What? I was gonna pay for it.
SPIKE,"I mean, no. I was gonna nick it, 'cause that's what I do. (sighs) I go where I please and I take what I want, and what's your excuse anyway? (nods toward upstairs) I thought you'd had it to the brim with customer disservice."
BUFFY,One-time deal to help out. And I mean straight time. No loop-de-loop mummy hand repeat-o-vision.
BUFFY,Where's the mandrake root?
SPIKE,Um ... here. (takes down a jar) Only three to a jar. (gives her the jar) Tend to ... go a bit wonky if you cram them too close.
BUFFY,Thanks.
SPIKE,Feel like a bit of the rough and tumble?
BUFFY,(shocked) What?
SPIKE,Me ... you...
SPIKE,Patrolling? Hello?
BUFFY,Oh. Uh ... I ... should stay. Maybe tomorrow.
SPIKE,It's not like I don't already have plans. <I>Great Pumpkin</I>'s on in twenty.
BUFFY,(to herself) So much easier to talk to when he wanted to kill me.
ANYA,Ooh! Go help Giles. (skates away)
BUFFY,What happened to Xander?
GILES,He kept poking me with his hook. (Buffy picks up an item from the counter) I sent him over to charmed objects. With any luck he'll poke the wrong one and end up in an alternative dimension inhabited by a 50-foot Giles that squishes annoying teeny pirates.
GILES,We've got a ton of bagging to do here.
BUFFY,"Actually, Spike had a really good idea. You know, maybe I should (quietly) patrol."
GILES,"Buffy, you've been patrolling every night this week. (takes an item from a customer, rings it up) Besides, it's Halloween, it's the one time of the year that supernatural threats give it a well-deserved rest. As should you."
BUFFY,"Yeah, what about costumes that take over your personality? Or, wee little Irish fear-demon-y thingies?"
GILES,"Yes, well, if anything calamitous should happen, history suggests it'll happen to one of us. (hands a customer some change)"
BUFFY,"Right, exactly, so I should patrol to avoid any of that- (Giles shoves the item in her hand) and I'm bagging."
KALTENBACH,"(sings to the same tune) Da da da da da-da da da, happy Halloween."
KALTENBACH,Ha ha! Give you ... something ... special this year.
DAWN,Come again! (weak laugh)
DAWN,Uhh! In a zillion years.
XANDER,Store go boom. (waves his hook hand weakly) Arr.
ANYA,That was the most incredible thing I have ever experienced.
ANYA,Except for that.
ANYA,"What you all did for me tonight ... the astounding heaps of money you helped me- (Xander clears his throat) ...us acquire. All I can say is, I hope we make as much tomorrow."
BUFFY,(in dismay) Tomorrow?
ANYA,"Oh, post-holiday clearance. (smiles) The cornerstone of retail."
GILES,"Brooms all around, then."
WILLOW,"Or I could whip up a jaunty self-cleaning incantation, it'll be like <I>Fantasia</I>."
GILES,We all know how splendidly that turned out for Mickey. (gives Willow a broom and dustpan)
WILLOW,I think I'm a little more adept than a cartoon mouse.
TARA,"And you have more fingers, which is good, 'cause... (shot of Anya counting her money) ...there's no need to wear those big white gloves to overcompensate."
BUFFY,"(to Xander) You know, if you had a real peg leg, you wouldn't just have a lame costume, you'd actually be lame. Which is completely different."
DAWN,(smiling) You do this every night?
ANYA,Every time I close out the cash register. The dance of capitalist superiority.
XANDER,(softly) I'm gonna marry that girl.
BUFFY,"What?! She's fifteen and my sister, so don't ev- (gets it) Oh."
XANDER,"Hey, everybody. (stands up) Can I, um ... uh ... there's something Anya and I ... wanna tell you."
ANYA,(quietly) Now?
XANDER,Now.
XANDER,We're getting married.
DAWN,(smiling) Oh my god.
TARA,Congratulations!
WILLOW,(not smiling) That ... that's ... wow.
XANDER,It's a big wow.
ANYA,(to Xander) I ... I thought you were waiting for the right moment.
XANDER,I did.
ANYA,"Here, have some money!"
BUFFY,(quietly to Giles) Did you know about this?
GILES,"No. Unless I blocked it from my memory, (glancing at Xander and Anya) much as I will Xander's vigorous use of his tongue."
BUFFY,(shocked) Is that why you're always cleaning your glasses? So you don't have to see what we're doing?
GILES,Tell no one. (puts glasses on)
BUFFY,"Giles, this is..."
BUFFY,...we have to do something.
ANYA,"And he said he couldn't imagine the rest of his life without me, and then he gave me this!"
XANDER,Which I'll be paying for the rest of my life.
DAWN,Can I try it on?
ANYA,"(big smile) Oh, absolutely not."
GILES,"Where I come from, this sort of thing requires much in the way of libation."
XANDER,God save the queen!
BUFFY,Sorry we couldn't do the big fancy. You kinda caught us with our parties down.
ANYA,"Oh, that's okay. This is just the first premarital celebration. There'll be lots more. With gifts."
TARA,"Sure, maybe we'll even have time to decorate for the next one."
WILLOW,Why wait?
ANYA,This is so much better than the way it usually looks. Thank you.
TARA,"The grocery store's still open, we ... could've bought decorations there."
