character,dialogue
Willow,This is a nightmare. This is... My world is spinning.
Xander,"It's not that bad, Willow, really."
Willow,"740? Verbal?! I'm-I'm... (searches for a word) pathetic!  Illiterate! I'm Cletus, the slack-jawed yokel."
Xander,(shrugs) That's right. And the fact that your 740 verbal  closely resembles my combined scores in no way compromises your position  as the village idiot.
Willow,"I just... (sits and slouches, depressed) Where did I go wrong?"
Xander,"You did amazing, Willow. As usual."
Cordelia,You guys get your scores?
Xander,Cordelia! (points) Willow was very sad by her academic failure.  (reaches for Cordelia's score report) How did you do?
Xander,This is not good.
Cordelia,What's not good?
Xander,"Well, I'm just worried it may hurt my standing as campus stud  when people find out I'm dating a brain."
Cordelia,(yanks her scores from his hand) Please. I have *some*  experience in covering these things up.
Oz,"(to Willow) Well, I can see why you'd be upset."
Oz,That was my sarcastic voice.
Xander,"You know, it sounds a lot like your regular voice."
Oz,"I've been told that. (trying to be upbeat) But we should celebrate,  do something."
Cordelia,"Like, the four of us?"
Xander,A double date! It could have potential.
Willow,(brightens and stands up) Buffy! Hey! Did you get your SAT  scores?
Xander,"By the look on your face, I'm guessing you and I are gonna be  manning the drive-through window side by side."
Buffy,"They're just test scores, right? (hands hers to Willow) What do  they really mean, anyway?"
Willow,"(unfolds it and reads) (very excited) 1430! Buffy, you kicked  ass!"
Willow,"(more calmly) Okay, (folds the report) so academic achievement  gets me a little excited."
Xander,"Buff, that's amazing."
Cordelia,Let me see that.
Oz,"Yeah. With scores like that, you can apply pretty much anywhere you  want."
Willow,"Buffy, this could, like, change your whole future."
Buffy,(unsure what to make of it) The thought had occurred to me.
Xander,Then why the sour puss?
Buffy,I don't know. I guess... my future. I never really thought about  it. I wasn't even sure I was going to have one.
Cordelia,"(smiling hugely) Well, I think this is great! Now you can  leave and never come back!"
Cordelia,"Well, I mean that in a positive way. Get out of Sunnydale.  That's a good thing. What kind of moron would ever wanna come back here?"
Spike,"Home, sweet... (chuckles) home."
Spike,And more / Much more than this / I did it my way
Spike,Drusilla! I'm home!
Spike,"Why did you do it, baby? Why did you leave me? We were happy  here."
Spike,YOU... (swings the candlestick) STUPID... (swings again)  WORTHLESS... (swings again) BITCH! (calms a bit) Look what you've done  to me.
Xander,C'mon. It'll be fun!
Cordelia,"I don't know. I just thought we were gonna do something...  you know, classy?"
Xander,What's classier than bowling?
Cordelia,(raises her eyebrows at him) Apart from everything ever?  Let's see...
Xander,Oz and Willow are down. You're the swing vote. (skips around to  her other side) I guarantee fun.
Xander,"Hey, those are from the pier."
Cordelia,"Yeah. Uh, I just got them developed."
Xander,(not yet sure what to make of it) There's pictures. Of me. In  your locker. I never knew I was locker door material.
Cordelia,"Well... just barely. Besides, (smiles) I look really cute in  those pictures."
Oz,Hey. So what's the verdict? Do we bowl?
Cordelia,(gives in) We bowl.
Willow,Great! Double bowling date. (pats Oz's chest) I'm on Oz's team.
Xander,"Yeah? Well, (points at Oz) prepare to be crushed. (takes  Cordelia's arm) Maybe we should practice."
Cordelia,(nods) Yeah.
Willow,"They don't stand a chance. I'm really good. Or I used to be,  (works her combination) when they had the inflatable things in the  gutters."
Willow,What's this? (takes it)
Oz,It's a gift.
Willow,(smiles) What's the occasion? (unwraps it)
Oz,Pretty much *you* are.
Willow,"(excited) It's a little, uh, PEZ witch!"
Oz,It's kind of a theme present. Do you like it?
Willow,"(breathless) I like... I-I *more* than like. Oz, this is  probably the sweetest... We have to find a little PEZ werewolf, so  little PEZ witch can have a boyfriend."
Oz,I don't think they make a werewolf PEZ. You might have to settle  for a wacky cartoon dog.
Willow,This is... just so thoughtful.
Oz,"Well, I think about you."
Willow,(suddenly disappointed) Oh... I don't have anything to give  you.
Oz,"(smiles at her) Yeah, you do."
Giles,"Buffy, this is, this is remarkable."
Buffy,"So is this. (puts the thing down) Where is this retreat thingy,  the Yukon? (reaches for something else)"
Giles,"It's quite nearby, actually. (Buffy finds a compass) It's, um,  it's the clearing at the top of Breaker's Woods."
Giles,It's the site of some fascinating druidic rituals.
Buffy,"(closes the compass) Okay, but you're just going for a few days,  right? (Giles takes the compass from her) I mean, you're not gonna  settle there and grow crops or anything."
Giles,"(confused) What? Oh, my gear. No, no, this is, this is basic  necessities."
Buffy,"Giles, you pack like me."
Giles,"(gives her a little smile) Here. (hands Buffy her scores) I  suspect your mother will want to, uh, put it on the refrigerator."
Buffy,"(puts the report away) Yeah. She saw these scores, and her head  spun around and exploded."
Giles,"(unsure what she meant) I-I've been on the Hellmouth too long.  That was metaphorical, yes?"
Buffy,Yes. She was happy.
Buffy,"She started with all this crazy talk about me going to college,  maybe someplace else."
Buffy,"I know. I know, I said that you were gonna have a goat.  Responsibilities and all. I know the drill."
Giles,She may be right. (comes back out of the cage)
Buffy,"Yeah, I know, I figured you'd..."
Buffy,"Okay. Be kind, rewind."
Giles,"With scores like these, Buffy, you could have a first-rate  education. I'm, I'm not suggesting that you... ignore your calling, but,  um... you need to look to your future. (goes back to the table) And with  Faith here, i-i-it may be that you can (draws a breath) move on. For a-a  time, at least. (packs the book)"
Buffy,(unsure how to react) Wow.
Giles,"Well, let's, um, let's discuss it when I get back. I-in the  meantime, um, I'd like you to continue training while I'm, while I'm  gone, and, um, please don't do anything rash."
Buffy,"'Anything rash', meaning..."
Giles,(hesitates for an instant) Are you planning on seeing Angel?
Buffy,"Yes. Actually, I am. (Giles averts his eyes) Look, but there's  not gonna be any rash. (realizes how that sounds and gets a look from  Giles) Anywhere. (defensively) Okay. We're, we're friends. That's all  either of us wants. (looks at Giles seriously) Nothing's gonna happen."
Willow,Something's gonna happen.
Xander,Like what?
Willow,"Uh! It's a mistake! It's a terrible, fatal mistake. I see that  now."
Xander,It's just bowling.
Willow,"It's *bad* bowling. I-it's a double date, with all of us, and  they're gonna know!"
Xander,How are they gonna know?
Willow,It's a very intimate situation. It's all sexy with the smoke  and the sweating and the shoe rental...
Xander,You're turned on by rented shoes?
Willow,That's not the issue.
Xander,"Okay, well, let me ask you this: what are they gonna know? That  we're friends. Old, old friends. And maybe we've had one or two  indiscretions, but that's all past. Look. We're just very good friends  who like to hang out, and can I kiss your earlobe?"
Willow,"No! Well, okay. (jerks away) No! (holds up the dispenser) PEZ!"
Xander,Maybe bowling might be too much to handle. Man! (strokes her  hair) I wish I wasn't so attracted to you. (takes a deep breath) I wish  we could make it all stop.
Willow,Any suggestions?
Joyce,"Carnegie Mellon has a wonderful design curriculum. Oh, and Brown  University's history program is... You like history, right?"
Buffy,"Could we talk about this another time? (gets a large bowl) All  day it's been like, 'Congratulations! Go away.' (takes the bowl to the  island)"
Joyce,"That's not it. It's just you belong at a, a good old-fashioned  college with, with keg parties and boys, not here with Hellmouths and  vampires."
Buffy,Not really seeing the distinction.
Joyce,"Y'know, you're always talking about how you wish you could lead  a more normal life. Well, this is your chance!"
Buffy,"Yeah, it's just not that simple. (takes the popcorn to the bowl)  I have responsibilities. (opens the bag)"
Joyce,"I know, I know, but I spoke with Mr. Giles, and he said..."
Buffy,...that Faith could be Miss Sunnydale in the Slayer Pageant. I  know. (dumps the popcorn into the bowl)
Joyce,"It's time to think about your future, Buffy, about your whole  life. I mean, honestly, is there anything keeping you here?"
Spike,"(slurred) Yeah, you. You think I'm afraid of you?"
Spike,We were happy! You brainwashed her. I could just...
Spike,"Yeah, I'll show *you* who's a cool guy. (starts to leave) You're  goin' down."
Spike,Whoa!
Spike,This is just too much.
Shopkeeper,Did you come in through the back?
Spike,Yeah. I need a curse.
Shopkeeper,A what?
Spike,"(exasperated) A curse! Y'know, something nasty. Boils. I wanna  give him boils all over his face. You know, dripping pustules. Let's  really go for the gusto here."
Shopkeeper,"I'm hearing a lot of negative energy, and I bet..."
Spike,"(interrupts) Leprosy! Alright, a spell that makes his parts fall  off. That sounds proper."
Shopkeeper,We don't carry... (the front door chimes) leprosy.
Shopkeeper,Would you excuse me a moment?
Shopkeeper,Blessed be. Anything in particular I can help you find?
Willow,"Yeah. (holds up her notepad) It's all here on the list. (reads  down the list) Skink root, essence of rose thorn, canary feathers..."
Shopkeeper,"Aha! (smiles) A love spell. Want that old lover to come  back to you? (Spike is suddenly interested in their conversation) Are  you sure you know what you're doing, hon?"
Willow,"(flustered) No. Oh, I mean, yes! I... I know how to do a love  spell, but this is more of an anti-love spell. Yeah. Uh, kind of a de- lusting. The supplies are basically the same, right?"
Shopkeeper,(smiles) Basically. (starts to gather things) Although  raven feathers tend to breed a little more discontent than canary. Let  me just get some things...
Shopkeeper,Okay. Mm-hmm. (adds it up) That'll be $15.80 for the lot.
Willow,Thanks!
Shopkeeper,"(smiling) So, did you find a spell book?"
Spike,Forget the book.
Spike,I just got a better idea.
Allan,He's been spotted back in town.
Allan,And there was an incident at a magic shop in broad daylight.  Police had a hell of a time covering it up.
Allan,I remember. (leans against the Mayor's desk)
Allan,Should I have Mr. Trick send a... committee to deal with this?
Allan,(confused) Uh...
Allan,As good as done. (leaves the office)
Angel,"College, huh?"
Buffy,Higher education. Kind of an intense proposition.
Angel,Where do you wanna go? (slowly comes over to her)
Buffy,"(closes her brochure) I have no idea. My mom was the one that  got all these. She's so excited, she can't stop talking about it. (Angel  sits across from her) I had a really hard time coming up with an alibi  so I could come over here."
Angel,She doesn't know about me.
Buffy,"Big no. She's having enough trouble dealing with the Slayer  issue. I don't think she's ready to process the information that... you  and I are friends again. Anyway, I think this college jones is just a  reaction to the whole Slayer thing."
Angel,She wants you to get out.
Buffy,"Someplace a little less Hellmouthy. (nods) She has a point.  (draws a breath) Y'know, but there are reasons to stay, too."
Angel,What are they?
Buffy,"(taken aback) Um... you know, there's my Slayer duties,  obviously. What do you think I should do?"
Angel,"As a friend, I... (stands up) I think that you should leave.  (goes to the fireplace) This is a good opportunity for you."
Buffy,Yeah. It's not like there's any great thing keeping me here.
Buffy,Thanks for the advice. It's another perspective to consider.
Angel,Where are you going? You just got here. It's early.
Buffy,"Yeah, well, my mom starts worrying a lot earlier these days.  I'll stop by soon."
Xander,"Whoa! It smells like church in here. (sniffs) No, wait... Evil  church."
Willow,It's just chemistry stuff. An experiment.
Xander,So you said when you called. Why do I have to be here?
Willow,It'll help you on the exam. You're way behind.
Xander,"But that's why you love me, right? (bobs his head) Academically  dangerous?"
Willow,(ignores his comment) Here. (hands him a raven feather) Hold  this.
Xander,A feather. And who will I be tickling?
Willow,(warningly) Shush.
Willow,Okay. Bring mixture to a boil...
Xander,I assume this isn't going to make us late for our evening of  bowling magic?
Willow,"(jerks up) There's no magic! I mean, bowling, yeah. Cordelia  and Oz are gonna meet us here later."
Xander,Can we turn these lights on?
Xander,Is that a spell book?
Willow,"(tries to obscure it with her hand) No, no, no! Chemistry book."
Xander,Wait a minute. This is love spell stuff! You're doing a love  spell?
Willow,No! Of course not! This is a purely scientific...
Willow,...de-lusting spell... for us. I thought it would go better if  you didn't know.
Xander,"(raises his voice) Are you nuts, or have you forgotten that I  tend to have bad luck with these sorts of spells?"
Willow,(raises hers back) But you said you wished that these feelings  could just go away.
Xander,"Yeah, I wish for a *lot* of things! I told you I wished I was a  fireman when we were in sixth grade, but you didn't follow through on  that!"
Willow,"I can't do this anymore, Xander! I mean, this whole 'us' thing  is... bleagh!"
Xander,"So, do you really need to resort to the black arts to keep our  hormones in check?"
Willow,"(calmly) At this point, I'm thinking 'no'."
Xander,"I'm gonna get the lights, (walks) clean this place up before  they get here (clicks them on) and start asking questions."
Willow,Xander!
