character,dialogue
"</center><center>Original Air Date","May 14th, 2002"
"<font size=+1>Transcribed by Joan the English Chick (<a href=""mailto","pisces@englishchick.com"">pisces@englishchick.com</a>).</font>"
"</center><hr WIDTH=""400""><b>Transcriber's Notes",</b>
"<blockquote>GILES VOICEOVER",Previously on <i>Buffy the Vampire Slayer</i>...
SPIKE,Why won't you sleep with me again?
BUFFY,Because I don't love you.
WILLOW,See? Clothes.
TARA,Better not get used to 'em.
WILLOW,Yes ma'am.
WARREN,"Say goodnight, bitch."
BUFFY,"Goodnight, bitch."
SPIKE,I'm gonna make you feel it!
BUFFY,Stop!
BUFFY,Ask me again why I could never love you.
SPIKE,"Get nice and comfy, Slayer. I'll be back. And when I do ... things are gonna change."
WARREN,You think you can just do that to me? You think I'd let you get away with that? Think again.
WILLOW,Tara?!
WILLOW,Tara! Baby!
XANDER,Buffy!
XANDER,(OS) She's in the back.
XANDER,This way!
PARAMEDIC 1,She was shot?
XANDER,"Yeah, in the chest."
PARAMEDIC #2,Accidental?
XANDER,"No no, it was a ... He was trying to kill her."
Cut to,"close shot on Tara still lying in Willow's lap. Sound of Willow crying and breathing heavily. Willow's arms have blood on them, as does her shirt. She gently shakes Tara."
WILLOW,"(crying) Oh god, oh no. Please, please, come on.... (crying)"
WILLOW,"Come on, Tara! Please, come on, baby..."
WILLOW,"By Osiris, I command you, bring her back!"
PARAMEDIC #2,Pulse is 100 and weak. Lung sounds are wet.
XANDER,What does that mean? Is she going to...
PARAMEDIC #1,"You need to stand back, okay? If you want us to help her out, we need some space."
WILLOW,Hear me! Keeper of darkness!
DEMON,Witch! How dare you invoke Osiris in this task!
WILLOW,"(crying) Please. Please, bring her back."
DEMON,You may not violate the laws of natural passing.
WILLOW,How? How is this natural?
DEMON,"It is a human death, by human means."
WILLOW,But I-
DEMON,You raised one killed by mystical forces. This is not the same. She is taken by natural order. It is done.
WILLOW,(crying) No. There has to be a way.
DEMON,It is done.
WILLOW,(screams) NOOOO!
PARAMEDIC #2,"(into walkie-talkie) Sunnydale Memorial, do you copy? We have a caucasian female, 21, GSW to the chest."
XANDER,"Come on, Buff, hang on. We're going to get you to the hospital."
XANDER,"Willow, god, are you okay?"
WILLOW,(quietly) How did this happen?
XANDER,Warren. He had a gun.
WILLOW,"(with a brief flash of anger, then blank again) Warren."
XANDER,"It went down too fast, I couldn't stop him."
XANDER,Hey.
XANDER,Will!
PARAMEDIC #1,"Sir, we have to go, are you coming with us or not?"
Cut to,exterior shot of the Sunnydale police station.
Cut to,a holding cell. It's dark despite being daylight outside. Andrew lies on his back on the top bunk.
ANDREW,Think they'll let my aunt bring me my Discman?
JONATHAN,That's what you're worried about? In-flight entertainment? We're in jail!
ANDREW,We're in custody. We haven't been charged yet. (rolling over onto his stomach)
JONATHAN,"Thank you, Dragnet. (walks toward Andrew, angry) It doesn't matter what they call it, they got us, okay? We're going down."
JONATHAN,(quietly) That guy's been looking at me. I think he wants to make me his butt monkey.
ANDREW,(rolling his eyes) Don't flatter yourself. I heard him talking to the guard. He's in here for parking tickets.
JONATHAN,"That doesn't mean anything! The joint changes you. (whispers) I hear they like the small ones, with little hands like their girlfriends."
ANDREW,"You have got to chill out. This isn't Oz, it's like, Mayberry. Besides, Warren is going to find a way to get us out of here."
JONATHAN,(sarcastic) Yeah. I'm sure he'll be busting us out any minute.
ANDREW,"He will. He's coming up with a plan. Like, ""War Games."" Remember that decoder that Matthew Broderick used?"
JONATHAN,"(smiling) Oh, yeah. That was rad. The one he made from the scissors and the tape recorder?"
ANDREW,"I miss ""Ferris"" Matthew. Broadway Matthew? I find him cold."
JONATHAN,"Really? No, I- (catches himself, exasperated) Shut up!"
JONATHAN,(grimly) This is real life. And nobody's coming to get us. Not even your aunt who won't return your one phone call.
ANDREW,(defensively) She must be out of town.
JONATHAN,"She. Doesn't. Care. And neither does your partner in crime, Warren."
ANDREW,"Don't say that. And what do you mean, my partner in crime? We're in this together."
JONATHAN,"(turns back toward Andrew, angry) What do you mean, what do I mean? You two were totally going to fly off and leave me holding the bag."
ANDREW,No we weren't! I was going to - (lamely) carry you. (rolls over onto his back and stares at the ceiling)
JONATHAN,"No, you two were setting me up, and then Warren was going to screw you over too."
ANDREW,"(rolls over again to face Jonathan, tearful) That is so not true!"
JONATHAN,Sure. (sits on the bottom bunk) He's a nice murderer who keeps his word.
ANDREW,"(softly) You're wrong. He's coming for us. He's out there right now, devising a brilliant way to get us out of here."
Cut to,"interior of an underground bar. Warren comes down the stairs outside and enters, wearing a slick suit and dark sunglasses. He strides toward the bar."
WARREN,"Whiskey, straight up. And get a round for the house. I'm feeling expansive."
WARREN,(friendly greeting) Hey.
WARREN,(leaning toward the vamp) Bet you don't get a lot of humans in-
VAMPIRE,I'm watching my program.
WARREN,Wouldn't want to interrupt your 'me' time. (loudly) Not even to buy the guy who killed the Slayer a drink.
VAMPIRE,What's that?
WARREN,Took her out myself. I've been heading an organization. The Trio? You've heard of us.
