character,dialogue
"Transcribed by Joan the English Chick (<a href=""mailto","pisces@englishchick.com"">pisces@englishchick.com</a>)."
<b>Transcriber's Notes,"</b><ul><li>I do not own the characters or situations of BTVS, and I claim no credit for the content of this episode. I have merely transcribed what appeared on my screen, with help from the closed captions.<li>I prefer that you link to this transcript on the Psyche site rather than post it on your site, but you can post it on your site if you want, as long as you keep my name and email address on it. Please also keep my disclaimers intact.<li>You can use my transcripts in your fanfiction stories; you don't have to ask my permission. (However, if you use large portions of episode dialogue in your fanfic, I recommend you give credit to the person who wrote the episode.)<li>I apologize in advance for my lame transcription of the fight scenes. I don't know the names of different punches and kicks. Use your imagination.</ul>"
<blockquote>Note,"""Previously on Buffy"" was not shown at the beginning of this episode."
BUFFY,"(calling) Hey, Mom."
BUFFY,Ooh.
"She opens the card that came with the flowers. Shot of the card, which reads","""Thank you for a _lovely_ evening. See you soon? Brian."""
BUFFY,(to herself) Still a couple of guys gettin' it right.
BUFFY,(calls) Hey. Flower-gettin' lady. Want me to pick Dawn up from school?
BUFFY,Mom?
BUFFY,What are you doing?
BUFFY,(quieter) Mom? (even quieter) Mom? (very quietly) Mommy?
<b>NOTE,There is no background music at all in this episode.</b>
JOYCE,I think we're just about ready for pie. (She and Buffy begin clearing dishes)
XANDER,Then I'll be pretty much ready for barf.
BUFFY,Xander!
XANDER,"No, no, (to Joyce) barf from the eating. 'Cause all was good, and too much goodness..."
JOYCE,I'm taking it as a compliment.
GILES,"Yes, uh, everything was delicious. (stands to help clear)"
ANYA,"Yes, I'm going to barf too."
JOYCE,(sarcastic) Everyone's so sweet.
XANDER,"How you doing there, Will, are you in the vomit club too?"
WILLOW,(groaning) I had too much nog.
TARA,"(sympathetic) Oh, baby, want me to rub your tummy? (to the others) She likes it when I ... (pauses, quietly) stop explaining things."
DAWN,My nog tastes funny. I think I got one with rum in it.
WILLOW,That's bad.
XANDER,"Yeah, now Santa's gonna pass you right by, naughty booze hound."
WILLOW,Santa always passes me by. Something puts him off. Could be the big honkin' menorah.
TARA,"(to Dawn) Oh, did you write him a letter?"
XANDER,What'd you ask for?
DAWN,"Um, guys, hello, puberty? Sorta figured out the whole no Santa thing."
ANYA,That's a myth.
DAWN,Yeah.
ANYA,"No, I mean, it's a myth that it's a myth. There is a Santa Claus."
XANDER,The advantage of having a thousand-year-old girlfriend. (turns to Anya) Inside scoop.
TARA,There's a Santa Claus?
ANYA,"Mm-hmm. Been around since, like, the 1500s. He wasn't always called Santa, but you know, Christmas night, flying reindeer, coming down the chimney -- all true."
DAWN,(smiles hopefully) All true?
ANYA,"Well, he doesn't traditionally bring presents so much as, you know, disemboweled children, but otherwise..."
TARA,The reindeer part was nice.
JOYCE,Damn it! I hate this oven. It burnt.
BUFFY,"Oh, no, it's just blackened, you know, it's, it's Cajun pie."
GILES,(to Joyce) Shall I open another?
JOYCE,"Oh, do you think we dare?"
