character,dialogue
Willow,"I implore you, Neisa, blessed goddess of chance and fortune, heed my call.  Send to me the heart I desire."
Xander,"You know, magic at the poker table qualifies as cheating."
Willow,That wasn't magic.  I was praying.  Two please.
Anya,Five
Xander,"Ahn, I keep telling you: four's the max and only if you have an ace."
Anya,"Okay, four."
Xander,Let's see the ace.
Anya,(sighs) Three. (gives up the cards) What a stupid game.  All these rules just to win little plastic disks.
Xander,Chips.  They're called chips.  They represent money.  Since none of us has any money it represents money.  But that's gonna change once my merchandise hits the street.
Willow,"(munching on a pretzel) Hmm!  Wha'cha got in the boxes, drugs?  (then sternly) It's not drugs, is it, Xander?"
Xander,Not drugs.
Xander,"You are looking at the new local distributor for Boost Bars. 'The natural food bar that provides a nutritional energy boost for active, health-conscience people.'  (sits) Want one?"
Willow,No.  Thanks.  Those things usually taste . . kind of tasteless.  And then leave a bad after-tastelessness.
Xander,"(taking out a bar) Well, don't let the healthy scare you. Check out these ingredients.  (pointing at label) See?  Loaded with fatty goodness."
Anya,"Come on, somebody bet already.  I got three 'K' cards."
Xander,Wish the Buff could've made it.  This three-hand poker is not quite the game.
Willow,Guess she's out with Riley.  You know how it is with a spanking new boyfriend.
Anya,"(offhandedly while stacking her chips) Yes, we've enjoyed spanking."
Xander,"Well. . .(coughs) The thing is . . . I think Riley is . . . okay, in an oafish kind of way.  But . . . am I the only one with a big floating question mark over his head about this Initiative thing?"
Willow,"Well, they do seem to fall into the 'good guy' camp.  I mean they are anti-demon. (sees Anya's evil eye expression) Probably pro ex-demon."
Anya,Maybe.  I choose to feel threatened.
Xander,(gathering cards again) And why not?  There's still heaps we don't know about these commandos.  What exactly are they up to?
Walsh,(OS) Lights!
Walsh,It took the patrol team 42 minutes to track you and you neutralized them in 28 seconds.
Buffy,(glances at Riley behind Walsh) I was just lucky.
Walsh,I see. (Riley starts to smile) Well . . . still.  Very impressive.
Buffy,"I was just being modest with the whole 'lucky' thing.  You got that, right?"
Riley,I got it.
Graham,"Awesome, Buffy."
Forrest,Pfft! (he continues on)
Riley,(still smiling) See?  You're a hit.  Everybody loves you.
Buffy,"So then Professor Walsh said that I was just as amazing as Riley had said.  And later, he told me that she couldn't stop talking about this move I made where I used one of the commandos as a shield to block a taser blast.  It was like twelve-thousand volts.  It took the guy almost two hours to recover. (takes a sip of her coffee)"
Willow,(politely) Huh.
Buffy,Hmm.  How was your night?
Willow,"Like a normal person's.  Light on the action-pack.  Hope tonight's not too much of a let-down for you.  Excitementwise. (a pause) You do remember about tonight, right?"
Buffy,Bronze.  The gang.  Are you kidding?  I wouldn't be anywhere else.  I miss you guys.  We haven't been able to spend that much time together lately.
Willow,You've been busy.  Fighting armies and stuff.  Not to mention other distractions from a romantic-- (sees that Buffy's no longer paying attention)
Buffy,Riley just walked in.
Willow,Do ya want to let him know you're here?
Buffy,No.  Just enjoying a good stare. (eyes still on Riley) Tell me about your night.
Willow,"Well, spent most of it at Xander's teaching Anya to play poker."
